Формат имени чертежа: <task_id>_<класс>.svg
Пример: f2_560_5.svg = задача f2_560 (класс 5).
Суффикс после последнего "_" — это КЛАСС, не часть id.

task_id	класс	файл_чертежа
f2_5343	6	f2_5343_6.svg
f2_5350	6	f2_5350_6.svg
f2_5355	6	f2_5355_6.svg
f2_5358	6	(НЕТ ЧЕРТЕЖА)
f2_5359	6	(НЕТ ЧЕРТЕЖА)
f2_5360	6	f2_5360_6.svg
f2_5362	6	(НЕТ ЧЕРТЕЖА)
f2_5364	6	(НЕТ ЧЕРТЕЖА)
f2_5365	6	f2_5365_6.svg
f2_5366	6	f2_5366_6.svg
f2_5368	6	(НЕТ ЧЕРТЕЖА)
f2_5373	6	f2_5373_6.svg
f2_5374	6	f2_5374_6.svg
f2_5375	6	f2_5375_6.svg
f2_5376	6	f2_5376_6.svg
f2_5377	6	f2_5377_6.svg
f2_5378	6	f2_5378_6.svg
f2_5379	6	f2_5379_6.svg
f2_5380	6	f2_5380_6.svg
f2_5381	6	f2_5381_6.svg
f2_5383	6	f2_5383_6.svg
f2_5384	6	f2_5384_6.svg
f2_5386	6	f2_5386_6.svg
f2_5387	6	(НЕТ ЧЕРТЕЖА)
f2_5388	6	f2_5388_6.svg
f2_5425	6	f2_5425_6.svg
f2_5427	6	f2_5427_6.svg
f2_5428	6	(НЕТ ЧЕРТЕЖА)
f2_5430	6	f2_5430_6.svg
f2_5432	6	(НЕТ ЧЕРТЕЖА)
f2_5433	6	f2_5433_6.svg
f2_5439	6	(НЕТ ЧЕРТЕЖА)
f2_5440	6	f2_5440_6.svg
f2_5441	6	f2_5441_6.svg
f2_5442	6	f2_5442_6.svg
f2_5443	6	f2_5443_6.svg
f2_5444	6	f2_5444_6.svg
f2_5445	6	(НЕТ ЧЕРТЕЖА)
f2_5446	6	(НЕТ ЧЕРТЕЖА)
f2_5447	6	f2_5447_6.svg
f2_5450	6	f2_5450_6.svg
f2_5451	6	(НЕТ ЧЕРТЕЖА)
f2_5453	6	(НЕТ ЧЕРТЕЖА)
f2_5454	6	f2_5454_6.svg
f2_5455	6	f2_5455_6.svg
f2_5456	6	f2_5456_6.svg
f2_5457	6	f2_5457_6.svg
f2_5458	6	(НЕТ ЧЕРТЕЖА)
f2_5459	6	(НЕТ ЧЕРТЕЖА)
f2_7420	7	f2_7420_7.svg
f2_7423	7	f2_7423_7.svg
f2_7425	7	f2_7425_7.svg
f2_7426	7	f2_7426_7.svg
f2_7429	7	f2_7429_7.svg
f2_7430	7	f2_7430_7.svg
f2_7431	7	f2_7431_7.svg
f2_7434	7	f2_7434_7.svg
f2_7435	7	f2_7435_7.svg
f2_7436	7	(НЕТ ЧЕРТЕЖА)
f2_7437	7	f2_7437_7.svg
f2_7438	7	f2_7438_7.svg
f2_7439	7	f2_7439_7.svg
f2_7440	7	f2_7440_7.svg
f2_7441	7	f2_7441_7.svg
f2_7442	7	f2_7442_7.svg
f2_7443	7	f2_7443_7.svg
f2_7444	7	(НЕТ ЧЕРТЕЖА)
f2_7445	7	f2_7445_7.svg
f2_7446	7	f2_7446_7.svg
f2_7447	7	f2_7447_7.svg
f2_7448	7	f2_7448_7.svg
f2_7449	7	f2_7449_7.svg
f2_7450	7	f2_7450_7.svg
f2_7451	7	f2_7451_7.svg
f2_7452	7	f2_7452_7.svg
f2_7453	7	f2_7453_7.svg
f2_7454	7	f2_7454_7.svg
f2_7455	7	f2_7455_7.svg
f2_7456	7	f2_7456_7.svg
f2_7457	7	f2_7457_7.svg
f2_7458	7	f2_7458_7.svg
f2_7459	7	f2_7459_7.svg
f2_7460	7	f2_7460_7.svg
f2_7461	7	f2_7461_7.svg
f2_7462	7	(НЕТ ЧЕРТЕЖА)
